dataset,model,graph_mode,seeding,technique,seed,n_parameters,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
BasicMotions,gconv_gru,adaptive_nosvd_binary,noSVD,binary,789,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_binary,noSVD,binary,1024,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_correlation,noSVD,correlation,42,105769,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_gru,adaptive_nosvd_correlation,noSVD,correlation,123,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_correlation,noSVD,correlation,456,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_correlation,noSVD,correlation,789,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_correlation,noSVD,correlation,1024,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_dtw,noSVD,dtw,42,105769,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_gru,adaptive_nosvd_dtw,noSVD,dtw,123,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_dtw,noSVD,dtw,456,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_dtw,noSVD,dtw,789,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_dtw,noSVD,dtw,1024,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_knn,noSVD,knn,42,105769,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_gru,adaptive_nosvd_knn,noSVD,knn,123,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_knn,noSVD,knn,456,105769,1.0,1.0,1.0,1.0,1.0
